AUC,Accuracy,Sensitivity,Specificity,PPV,NPV,TN,FP,FN,TP,Task,Model_Family,Model_Label,n,Model_Validity,Claim_Ceiling
0.7349537037037037,0.6805555555555556,0.6944444444444444,0.6666666666666666,0.6756756756756757,0.6857142857142857,24,12,11,25,Task1_S_vs_G,single_marker,abd_mir146a,72,Exploratory internal,Exploratory
0.761574074074074,0.6666666666666666,0.6944444444444444,0.6388888888888888,0.6578947368421053,0.6764705882352942,23,13,11,25,Task1_S_vs_G,single_marker,abd_mir146b,72,Exploratory internal,Exploratory
0.7546296296296297,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,25,11,11,25,Task1_S_vs_G,single_marker,abd_mir155,72,Exploratory internal,Exploratory
0.6647376543209876,0.625,0.5,0.75,0.6666666666666666,0.6,27,9,18,18,Task1_S_vs_G,single_marker,abd_mir203,72,Exploratory internal,Exploratory
0.6442901234567902,0.625,0.4444444444444444,0.8055555555555556,0.6956521739130435,0.5918367346938775,29,7,20,16,Task1_S_vs_G,single_marker,abd_mir223,72,Exploratory internal,Exploratory
0.7218364197530864,0.6805555555555556,0.5833333333333334,0.7777777777777778,0.7241379310344828,0.6511627906976745,28,8,15,21,Task1_S_vs_G,single_marker,abd_mir381p,72,Exploratory internal,Exploratory
0.7029320987654321,0.6388888888888888,0.6666666666666666,0.6111111111111112,0.631578947368421,0.6470588235294118,22,14,12,24,Task1_S_vs_G,small_panel_exploratory,searched_top3_pairs_fold_contained,72,Exploratory (fold-contained search),Exploratory
0.623070987654321,0.625,0.75,0.5,0.6,0.6666666666666666,18,18,9,27,Task1_S_vs_G,demographic_only,AGE+SEX,72,Tentative internal,Tentative
0.7307098765432098,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,25,11,11,25,Task1_S_vs_G,biomarker_plus_demographic,ABD+AGE+SEX_select5,72,Tentative internal,Tentative
0.5964506172839505,0.5833333333333334,0.19444444444444445,0.9722222222222222,0.875,0.546875,35,1,29,7,Task1_S_vs_G,broader_global_only,global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,72,Tentative internal,Tentative
0.7322530864197531,0.6805555555555556,0.6666666666666666,0.6944444444444444,0.6857142857142857,0.6756756756756757,25,11,12,24,Task1_S_vs_G,combined_model,ABD+Proxy+Demo_select7,72,Tentative internal,Tentative
0.7623456790123457,0.7083333333333334,0.6111111111111112,0.8055555555555556,0.7586206896551724,0.6744186046511628,29,7,14,22,Task2_G_vs_P,single_marker,abd_mir146a,72,Exploratory internal,Exploratory
0.7345679012345679,0.6944444444444444,0.6388888888888888,0.75,0.71875,0.675,27,9,13,23,Task2_G_vs_P,single_marker,abd_mir146b,72,Exploratory internal,Exploratory
0.8117283950617284,0.7638888888888888,0.75,0.7777777777777778,0.7714285714285715,0.7567567567567568,28,8,9,27,Task2_G_vs_P,single_marker,abd_mir155,72,Exploratory internal,Exploratory
0.8410493827160495,0.8055555555555556,0.7777777777777778,0.8333333333333334,0.8235294117647058,0.7894736842105263,30,6,8,28,Task2_G_vs_P,single_marker,abd_mir203,72,Exploratory internal,Exploratory
0.8271604938271606,0.8194444444444444,0.8055555555555556,0.8333333333333334,0.8285714285714286,0.8108108108108109,30,6,7,29,Task2_G_vs_P,single_marker,abd_mir223,72,Exploratory internal,Exploratory
0.8125,0.8194444444444444,0.8055555555555556,0.8333333333333334,0.8285714285714286,0.8108108108108109,30,6,7,29,Task2_G_vs_P,single_marker,abd_mir381p,72,Exploratory internal,Exploratory
0.7924382716049383,0.7777777777777778,0.7222222222222222,0.8333333333333334,0.8125,0.75,30,6,10,26,Task2_G_vs_P,small_panel_exploratory,searched_top3_pairs_fold_contained,72,Exploratory (fold-contained search),Exploratory
0.9741512345679013,0.9305555555555556,0.9166666666666666,0.9444444444444444,0.9428571428571428,0.918918918918919,34,2,3,33,Task2_G_vs_P,demographic_only,AGE+SEX,72,Tentative internal,Tentative
0.9660493827160495,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.8947368421052632,0.9411764705882353,32,4,2,34,Task2_G_vs_P,biomarker_plus_demographic,ABD+AGE+SEX_select5,72,Tentative internal,Tentative
0.8533950617283951,0.9166666666666666,1.0,0.8333333333333334,0.8571428571428571,1.0,30,6,0,36,Task2_G_vs_P,broader_global_only,global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,72,Tentative internal,Tentative
0.9976851851851851,0.9583333333333334,1.0,0.9166666666666666,0.9230769230769231,1.0,33,3,0,36,Task2_G_vs_P,combined_model,ABD+Proxy+Demo_select7,72,Tentative internal,Tentative
0.9290123456790124,0.8333333333333334,0.8611111111111112,0.8055555555555556,0.8157894736842105,0.8529411764705882,29,7,5,31,Task3_S_vs_P,single_marker,abd_mir146a,72,Exploratory internal,Exploratory
0.9166666666666667,0.8611111111111112,0.9166666666666666,0.8055555555555556,0.825,0.90625,29,7,3,33,Task3_S_vs_P,single_marker,abd_mir146b,72,Exploratory internal,Exploratory
0.9714506172839505,0.9027777777777778,0.8888888888888888,0.9166666666666666,0.9142857142857143,0.8918918918918919,33,3,4,32,Task3_S_vs_P,single_marker,abd_mir155,72,Exploratory internal,Exploratory
0.992283950617284,0.9444444444444444,0.8888888888888888,1.0,1.0,0.9,36,0,4,32,Task3_S_vs_P,single_marker,abd_mir203,72,Exploratory internal,Exploratory
0.9506172839506174,0.9027777777777778,0.8333333333333334,0.9722222222222222,0.967741935483871,0.8536585365853658,35,1,6,30,Task3_S_vs_P,single_marker,abd_mir223,72,Exploratory internal,Exploratory
0.9405864197530864,0.9444444444444444,0.8888888888888888,1.0,1.0,0.9,36,0,4,32,Task3_S_vs_P,single_marker,abd_mir381p,72,Exploratory internal,Exploratory
0.9699074074074074,0.9583333333333334,0.9166666666666666,1.0,1.0,0.9230769230769231,36,0,3,33,Task3_S_vs_P,small_panel_exploratory,searched_top3_pairs_fold_contained,72,Exploratory (fold-contained search),Exploratory
0.80054012345679,0.6805555555555556,0.6111111111111112,0.75,0.7096774193548387,0.6585365853658537,27,9,14,22,Task3_S_vs_P,demographic_only,AGE+SEX,72,Tentative internal,Tentative
0.9938271604938271,0.9583333333333334,0.9166666666666666,1.0,1.0,0.9230769230769231,36,0,3,33,Task3_S_vs_P,biomarker_plus_demographic,ABD+AGE+SEX_select5,72,Tentative internal,Tentative
1.0,1.0,1.0,1.0,1.0,1.0,36,0,0,36,Task3_S_vs_P,broader_global_only,global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,72,Tentative internal,Tentative
1.0,0.9861111111111112,0.9722222222222222,1.0,1.0,0.972972972972973,36,0,1,35,Task3_S_vs_P,combined_model,ABD+Proxy+Demo_select7,72,Tentative internal,Tentative
